Nitrogen,Potassium,Phosphorous,Fertilizer Name
12.483929358566755,0.0,39.295324126673336,DAP
13.034755048146929,0.0,38.825713377725954,DAP
12.648119720826374,0.0,38.23528274463166,DAP
12.79434653030907,0.0,37.43632447162666,DAP
13.499493100120286,0.0,39.105281646357184,DAP
13.007912828820219,0.0,38.008429574664,DAP
12.79927900538788,0.0,36.98605833849487,DAP
13.329908082071233,0.0,39.188879727301575,DAP
13.295850070706676,0.0,39.29134495365351,DAP
13.444491586222082,0.0,38.4478232623041,DAP
12.776013035960236,0.0,39.25456411704949,DAP
11.933184322867682,0.0,38.55304365097723,DAP
13.344787898194872,0.0,39.10069294289086,DAP
12.808717908435797,0.0,37.610956579095856,DAP
13.610195176835658,0.0,37.99931925847991,DAP
12.646910863829644,0.0,38.18494746884661,DAP
14.010580642666124,0.0,38.46598705019148,DAP
12.957503913911905,0.0,38.48100919773134,DAP
12.720238424711011,0.0,37.87485017055128,DAP
12.251580156779902,0.0,39.094781744013595,DAP
12.691595347870715,0.0,38.23535714928929,DAP
12.729979808815349,0.0,39.34631563481534,DAP
13.148833997705758,0.0,38.64077370486543,DAP
12.740307521829921,0.0,38.68490050091378,DAP
13.388125621385685,0.0,39.57014791035616,DAP
12.82858081559479,0.0,38.5102444511167,DAP
13.004198473015343,0.0,38.03452173234888,DAP
13.323088396543916,0.0,38.294804573493764,DAP
12.642764822745514,0.0,37.787001748973346,DAP
12.817400814808982,0.0,38.39070446791861,DAP
13.519239041622592,0.0,38.76230049000602,DAP
12.875185917380582,0.0,37.636890567802354,DAP
12.803098398177305,0.0,38.990329644627934,DAP
13.340337468178843,0.0,39.53989227498491,DAP
12.806044934909144,0.0,38.2586640991806,DAP
13.112062781663571,0.0,39.94118148815174,DAP
13.342695333280302,0.0,39.36004242273275,DAP
12.159576869139082,0.0,36.64184525333265,DAP
12.643495073325758,0.0,37.8873692701858,DAP
12.648015062362848,0.0,38.96459234004189,DAP
12.778552070737986,0.0,38.978905654767615,DAP
13.06272907861704,0.0,38.652224072341355,DAP
12.979885093714296,0.0,39.766576250706436,DAP
12.80234574934248,0.0,39.37837264434404,DAP
12.615884361702824,0.0,38.316145875726434,DAP
12.978822644835494,0.0,39.245896534225345,DAP
13.408627044012553,0.0,38.20235986044009,DAP
13.106220747606727,0.0,38.02012080252963,DAP
13.135671208067569,0.0,38.55444863216829,DAP
13.67261138145083,0.0,38.34150515083943,DAP
12.991102489614292,0.0,37.763107946296415,DAP
13.16630657313322,0.0,38.207735554010874,DAP
12.90291468636392,0.0,38.74911535697143,DAP
12.969689839737082,0.0,38.30795707611808,DAP
12.583368831397264,0.0,39.099373201283996,DAP
13.319154511599027,0.0,38.778579311304505,DAP
12.251471403127166,0.0,38.857033240636454,DAP
12.61568572573063,0.0,38.192848075122605,DAP
13.410260344950704,0.0,38.091135069693316,DAP
13.625551895552983,0.0,39.80668710180996,DAP
12.715586649198093,0.0,38.58528999651796,DAP
12.594888845085446,0.0,37.91617873482813,DAP
13.447087216639163,0.0,38.22860271645569,DAP
13.65063702493787,0.0,38.90843092795006,DAP
13.339930723442103,0.0,38.52684595105013,DAP
13.01438241984555,0.0,37.722322915497024,DAP
13.160371007673465,0.0,37.82536265814045,DAP
12.567632817548079,0.0,39.00012001239192,DAP
13.71576166556501,0.0,38.97710712632776,DAP
13.149157100981192,0.0,39.19106839396448,DAP
14.168429300889608,0.0,38.5990646726208,DAP
13.269743224611538,0.0,38.533578163281,DAP
12.770403265781674,0.0,37.5381592726368,DAP
12.068024356111293,0.0,38.1418220090344,DAP
13.277778971701247,0.0,39.25063389294169,DAP
12.686795885284322,0.0,37.67405834588117,DAP
12.895757303313824,0.0,38.46560287501633,DAP
11.616904020259033,0.0,37.91486955678148,DAP
13.56517505248543,0.0,38.53777783457196,DAP
12.331756486247054,0.0,36.941330908393525,DAP
13.103594661135997,0.0,37.90429784906245,DAP
13.449317534758123,0.0,38.541808932109454,DAP
12.881155294667925,0.0,39.45324048873394,DAP
13.354720945972474,0.0,36.61774669167152,DAP
13.361046971721981,0.0,38.55379115914901,DAP
12.684562004518742,0.0,37.26370647029976,DAP
12.579253601698937,0.0,38.689751894393545,DAP
12.72723159401743,0.0,38.456208427914255,DAP
12.833260687072883,0.0,37.96071187969693,DAP
12.439798012381825,0.0,38.12136993948994,DAP
13.398838640773445,0.0,38.52135906985452,DAP
12.976313563980328,0.0,38.71368191511316,DAP
12.759503983942665,0.0,38.49584379428479,DAP
12.729999647313717,0.0,38.96021115031351,DAP
12.76740955639606,0.0,38.39504994439286,DAP
12.630287035570932,0.0,38.65069343116115,DAP
12.455325177372341,0.0,37.851509781835,DAP
13.399337671024119,0.0,38.516198572570815,DAP
12.592542630021155,0.0,38.77712303886162,DAP
12.775718608923613,0.0,37.766884168017114,DAP
12.348611100015125,0.0,38.49142839705808,DAP
13.143669181813314,0.0,39.26413322175552,DAP
12.343611796873263,0.0,38.59351759405591,DAP
13.575869099834774,0.0,38.65341344667848,DAP
13.764462969229509,0.0,38.846492391028775,DAP
12.762806286046544,0.0,37.352762718034256,DAP
12.551622802885012,0.0,37.269020331849454,DAP
12.987693087525068,0.0,38.70150613888093,DAP
12.154682239131214,0.0,39.17748685675912,DAP
12.995993358587198,0.0,39.51248694119148,DAP
13.02537995699104,0.0,38.23826039500672,DAP
13.325463142234586,0.0,38.24434934135044,DAP
12.664371340031932,0.0,39.26584351391116,DAP
12.10183669223665,0.0,37.93303972841348,DAP
13.888472571265357,0.0,39.17223771933815,DAP
12.680725994754354,0.0,39.028053684748485,DAP
12.600075265855763,0.0,38.647573509272455,DAP
13.499074068353035,0.0,39.68583259835917,DAP
13.085920306018961,0.0,38.06879766830387,DAP
12.587399632096611,0.0,38.29494817986239,DAP
13.017262264820312,0.0,38.82321498311158,DAP
12.313026772549952,0.0,38.647338921182126,DAP
13.453418176866036,0.0,37.865366851368954,DAP
12.792728095242477,0.0,38.585727538417174,DAP
12.912176931352626,0.0,37.28435313936421,DAP
12.907856724889978,0.0,37.60990804088667,DAP
12.26089875103493,0.0,39.09445891926563,DAP
13.403178079958751,0.0,38.33429160721259,DAP
13.164844470661878,0.0,37.441248419282886,DAP
12.664316910805384,0.0,39.1159457823682,DAP
14.152766828755198,0.0,37.02687958479235,DAP
13.325550942459413,0.0,39.42134287612367,DAP
13.021097686466373,0.0,38.50711023373371,DAP
13.279920807983126,0.0,37.94658648836186,DAP
12.671378118376646,0.0,38.292294928832256,DAP
13.033710386074182,0.0,37.58124691122758,DAP
13.372082455381555,0.0,36.5509155983058,DAP
12.758813310173782,0.0,38.806624510004234,DAP
13.218931495270585,0.0,37.90637445195111,DAP
13.388033743688771,0.0,37.659285754813624,DAP
12.645778390337949,0.0,38.36905493999817,DAP
12.735886302015675,0.0,38.93440508074616,DAP
13.315279237482173,0.0,38.240007028611025,DAP
12.63378276101145,0.0,38.34752913343687,DAP
13.33620534906699,0.0,37.64853299559932,DAP
12.554626164249994,0.0,37.82827350569998,DAP
12.356045967264082,0.0,39.607908303241615,DAP
12.989345326334238,0.0,37.402873770062364,DAP
12.246620877929395,0.0,38.14211914327822,DAP
13.125862749178259,0.0,39.1401509653202,DAP
13.57645704880793,0.0,38.6063968079978,DAP
12.81444353081957,0.0,38.593640707952325,DAP
13.388259446496857,0.0,38.652016424630915,DAP
13.937445842539526,0.0,37.32367959343075,DAP
13.121943873806124,0.0,37.73503853792135,DAP
12.58687602770487,0.0,39.076036497469204,DAP
13.187995413641964,0.0,37.7433756793233,DAP
11.969850033889234,0.0,38.07662515751436,DAP
12.544310526274913,0.0,38.38769682496754,DAP
12.936688722416534,0.0,38.12322028623819,DAP
12.452004934530473,0.0,38.487774434260494,DAP
12.43769144697034,0.0,37.752481410556065,DAP
13.324274457066043,0.0,39.28578094145392,DAP
12.51931251481739,0.0,37.60064004731872,DAP
13.799550607838585,0.0,38.41963832171627,DAP
12.722859713994119,0.0,37.751664747925204,DAP
12.655610356541251,0.0,36.8818850961174,DAP
13.06291874533427,0.0,39.085268367958506,DAP
13.670312302137422,0.0,38.39670618592644,DAP
13.197242106303598,0.0,38.968121303399606,DAP
12.810682417458104,0.0,38.42360178093835,DAP
12.972942222417187,0.0,38.757710503716325,DAP
13.497084691639166,0.0,38.943876385095365,DAP
13.348281431182071,0.0,38.151710527428264,DAP
12.435472319454087,0.0,38.411408074530925,DAP
13.487412419939579,0.0,37.41733544063529,DAP
11.480449875707363,0.0,37.57670081692788,DAP
13.030845322587652,0.0,37.396015414076984,DAP
13.11311813833786,0.0,38.27717245588023,DAP
12.70207126420415,0.0,38.83725575365536,DAP
13.031608370902498,0.0,38.46738759319861,DAP
13.009013043470178,0.0,38.26579648278291,DAP
12.384811029068935,0.0,39.06745678206244,DAP
12.339448822877108,0.0,37.74041437250327,DAP
12.235057568799109,0.0,39.43684258134184,DAP
13.124687832313398,0.0,38.168103535699956,DAP
13.066868667043014,0.0,38.458640808380835,DAP
13.444514840255962,0.0,39.11853694279352,DAP
12.754618454155391,0.0,39.40253872360512,DAP
13.206826976353698,0.0,38.63096892659649,DAP
13.058173407567457,0.0,37.76344302999182,DAP
12.566230736068357,0.0,38.53231241633037,DAP
13.722388112031421,0.0,38.72356654728648,DAP
13.689448929286671,0.0,38.088266422721674,DAP
13.68534002306168,0.0,39.22556943363832,DAP
13.044122409098033,0.0,39.04904018833606,DAP
12.663981931996673,0.0,39.19894984098066,DAP
13.441032301726356,0.0,38.18397402461015,DAP
12.760118255792241,0.0,39.52373546147541,DAP
12.910466057878756,0.0,38.223342925361116,DAP
11.856182204209313,0.0,39.25930467088116,DAP
13.818764390490905,0.0,38.14154373667793,DAP
13.024228571304596,0.0,37.87761781004529,DAP
13.237450221192287,0.0,38.104711752478835,DAP
13.132463860890423,0.0,40.04390498196981,DAP
12.813713340693015,0.0,38.91432661647399,DAP
13.402455929731335,0.0,38.35360489451849,DAP
12.94941702367367,0.0,38.695694888249136,DAP
13.400302686746002,0.0,37.611440465800555,DAP
12.38912552725996,0.0,38.85778077851526,DAP
12.752279703380639,0.0,38.19305484601545,DAP
13.195500606921922,0.0,38.336078920072865,DAP
13.427797514900986,0.0,38.42939293991265,DAP
12.99419303467662,0.0,39.39117503787587,DAP
12.58885021245004,0.0,38.87974748363911,DAP
11.965728981634658,0.0,38.82394740141487,DAP
12.12545298652337,0.0,38.23763427827431,DAP
12.887790307569505,0.0,38.70583017179557,DAP
13.265055272858614,0.0,39.26651611828033,DAP
12.809224050842403,0.0,39.176861332753674,DAP
12.692453132005745,0.0,37.19553965797455,DAP
13.529999916523,0.0,37.573616827383226,DAP
11.952975373206563,0.0,37.20945230124921,DAP
13.490443209248683,0.0,37.67269693781821,DAP
13.119776879319708,0.0,38.36094921608953,DAP
13.36801307677158,0.0,38.19910865352738,DAP
12.599574783605176,0.0,40.46490157414523,DAP
11.951820381745138,0.0,38.48304894187862,DAP
12.620209581431315,0.0,39.27085085555162,DAP
12.525858621873713,0.0,38.04188281472489,DAP
13.154860820350379,0.0,38.43343673247809,DAP
13.14550131682943,0.0,39.42740764795104,DAP
12.54368823605478,0.0,40.063038633112996,DAP
12.648618885315747,0.0,37.79917894738885,DAP
13.283759980892514,0.0,38.716833797858264,DAP
12.809838886792473,0.0,38.42122129826337,DAP
12.867687438066552,0.0,37.9778318212091,DAP
11.85631359997713,0.0,37.9713554407137,DAP
13.745909785549179,0.0,37.557337627082134,DAP
13.021319753564919,0.0,38.613289315691986,DAP
12.3478681066535,0.0,37.91843490425501,DAP
12.39067217763326,0.0,37.11401968755075,DAP
13.259872680955686,0.0,39.43468993200272,DAP
13.335855143109418,0.0,38.179486121340624,DAP
13.566323107464886,0.0,38.189656989897685,DAP
12.980941613003557,0.0,38.56069352499445,DAP
12.61850899564835,0.0,39.258784561901756,DAP
12.533642884076103,0.0,38.46976173475432,DAP
13.48159773421389,0.0,39.334425503506814,DAP
13.387658759184593,0.0,38.090582415823384,DAP
12.401162459305812,0.0,37.81151772721269,DAP
12.862795903321508,0.0,38.990053097517226,DAP
13.100096427120187,0.0,38.32493200069158,DAP
12.305702166598028,0.0,37.70469765299588,DAP
13.961701171991779,0.0,38.26705487834435,DAP
12.970043401386608,0.0,38.482154326037175,DAP
13.280714851025888,0.0,38.563893895698456,DAP
12.956101723840302,0.0,38.50008586283606,DAP
12.610695342605176,0.0,39.29790990063961,DAP
13.011073713917446,0.0,38.37970509719842,DAP
13.231656689698749,0.0,38.769079670851404,DAP
12.807895925914536,0.0,38.049656781990805,DAP
12.939456702709641,0.0,38.91423024058002,DAP
12.535004009745478,0.0,39.00898687077326,DAP
12.844681657395407,0.0,37.274265399664785,DAP
12.78458964069426,0.0,38.502353843491846,DAP
13.375314271735729,0.0,38.30210438165174,DAP
13.748073958663001,0.0,39.41351350015906,DAP
12.13207544199678,0.0,39.27647676977689,DAP
13.279837165140615,0.0,38.21275984530635,DAP
13.015700919393044,0.0,37.520997976514785,DAP
13.198403476289178,0.0,39.01792211483529,DAP
12.808486736520216,0.0,37.89184935532305,DAP
12.459092060503242,0.0,38.82987875394319,DAP
12.954212915799735,0.0,39.046729515450295,DAP
13.485711224677656,0.0,37.957242665875356,DAP
12.971684765228929,0.0,37.57287798862474,DAP
11.911744426290294,0.0,39.26580447464686,DAP
13.008409673850304,0.0,38.57359636130896,DAP
13.048275432734494,0.0,38.63354025206869,DAP
13.502856295504827,0.0,38.35808963499918,DAP
13.302523232933739,0.0,37.77419901582767,DAP
13.55799917624557,0.0,38.681074149541125,DAP
13.170327142412594,0.0,37.96620944919514,DAP
13.252133970934208,0.0,39.20077503427938,DAP
12.707884818585354,0.0,37.87473107015487,DAP
13.43805767987639,0.0,38.0929352235335,DAP
12.361815457602953,0.0,38.517736722873636,DAP
12.657921463589156,0.0,39.22572179043608,DAP
12.816015731953613,0.0,38.39116370110904,DAP
13.70971597012961,0.0,39.32542650345982,DAP
12.63436837879284,0.0,38.19845149828452,DAP
12.754105974368082,0.0,39.055442456860284,DAP
12.685637827229257,0.0,37.723927380733606,DAP
13.286101317943405,0.0,39.03890791604716,DAP
12.348635898297642,0.0,39.29706988375762,DAP
13.133402384162551,0.0,39.08243275359907,DAP
13.287151508333125,0.0,38.36957905418736,DAP
13.092499234260535,0.0,38.934682750952796,DAP
12.90067210142155,0.0,38.73065159962397,DAP
12.855036060762153,0.0,39.17262659022764,DAP
14.091808605339128,0.0,38.65365426525969,DAP
12.658624836669603,0.0,39.10538924372811,DAP
13.519512831832236,0.0,38.66151278631612,DAP
12.960744791645682,0.0,39.00106672517703,DAP
11.991398348686229,0.0,36.81292193867786,DAP
12.742101579608189,0.0,39.23933641014049,DAP
12.967701196635092,0.0,38.368786310310135,DAP
12.717986631492868,0.0,38.61390689651702,DAP
12.930781279161911,0.0,38.07650732043922,DAP
12.447407963283638,0.0,39.26705969192089,DAP
13.119892702122513,0.0,37.81832742854216,DAP
12.677797147181304,0.0,37.9942537511505,DAP
12.654833654499761,0.0,39.222684674561286,DAP
13.519761711916809,0.0,38.03678413804666,DAP
13.113131591100903,0.0,38.30198635459105,DAP
12.837129907496886,0.0,39.74449555291511,DAP
12.165544995418172,0.0,37.40242322443926,DAP
12.97915118624098,0.0,39.792639225792904,DAP
13.1976956933885,0.0,39.47720252108314,DAP
12.227050645200988,0.0,39.6461158177658,DAP
13.134129387848786,0.0,38.80960467239077,DAP
12.892306177482338,0.0,37.47094714816313,DAP
13.224025622297303,0.0,39.026154944659346,DAP
12.810181584410449,0.0,38.32516431278912,DAP
12.582201267936473,0.0,38.295556151010686,DAP
12.473552414404942,0.0,38.34469981568242,DAP
13.143346754117378,0.0,38.15210464050829,DAP
13.084835690310605,0.0,38.277613774249865,DAP
11.638140430465459,0.0,38.019711273213105,DAP
13.500672591543013,0.0,38.126710690258214,DAP
13.051332765719314,0.0,37.620783556335915,DAP
12.986545804748118,0.0,37.741986935093806,DAP
13.055771957088105,0.0,37.31332595584676,DAP
13.03443534545851,0.0,39.12623248429935,DAP
12.427172504716635,0.0,38.471408940613344,DAP
13.438550074594792,0.0,38.59618961451441,DAP
13.54367824000194,0.0,38.21335726801071,DAP
13.450396131990033,0.0,39.69012853813837,DAP
12.611572931356664,0.0,39.551703986810466,DAP
11.956741671992411,0.0,38.035972317690266,DAP
13.60113450060696,0.0,38.801125015117506,DAP
13.029011976433443,0.0,38.832325295969476,DAP
12.50820340905552,0.0,38.15995487823961,DAP
12.854123646348134,0.0,38.518298016264275,DAP
13.974987531778746,0.0,39.04200412463431,DAP
12.803796129741617,0.0,37.68457901522713,DAP
13.364311104571188,0.0,38.71864934776506,DAP
12.35627294020753,0.0,39.345820516375014,DAP
12.232471000120754,0.0,38.74559648304962,DAP
13.860220519200698,0.0,39.35052917711267,DAP
12.726989965974854,0.0,37.952280554197756,DAP
12.80041319254412,0.0,37.942359428709786,DAP
13.557056753812187,0.0,38.20058780728969,DAP
12.532077612083249,0.0,38.873066752332974,DAP
12.804988796457668,0.0,38.96312910665607,DAP
12.864578104759806,0.0,38.447165528660825,DAP
13.598700093175763,0.0,39.48431920742724,DAP
13.312090138906832,0.0,38.2425540750059,DAP
13.664338203989136,0.0,38.09188406799747,DAP
12.98336420857532,0.0,38.690316734365915,DAP
12.8537944547679,0.0,39.5515068543007,DAP
12.511501993277786,0.0,37.419199986612014,DAP
12.685640283297593,0.0,39.00808418483527,DAP
12.674026094643757,0.0,39.59475422517586,DAP
13.001712584827981,0.0,38.2353281898101,DAP
12.475024182827307,0.0,38.90447498964622,DAP
13.085458648524197,0.0,36.99209043881813,DAP
12.77802302462133,0.0,37.79729927338098,DAP
12.526252430588226,0.0,38.9625643526143,DAP
11.970346882443001,0.0,39.03773177008051,DAP
11.92929089455447,0.0,38.46510951144305,DAP
12.992500991950767,0.0,38.42594043731641,DAP
12.623014147041044,0.0,38.47088757851958,DAP
12.516847700429647,0.0,37.91068135727854,DAP
12.811236317917542,0.0,38.02221939315868,DAP
12.662317249102237,0.0,39.32977327765939,DAP
13.115776756118079,0.0,38.754898587219856,DAP
12.612874914362116,0.0,37.79143439636036,DAP
13.164904417344971,0.0,40.15174221864285,DAP
12.532213906861527,0.0,39.02490012176358,DAP
12.402676621087439,0.0,39.3449517199561,DAP
12.65188651422895,0.0,38.33983176686013,DAP
13.108892251444242,0.0,38.50512120080041,DAP
13.168407902565821,0.0,37.89922319943116,DAP
12.914309078792817,0.0,38.468546237874946,DAP
12.592616444895773,0.0,38.623704726459245,DAP
12.288255139718718,0.0,37.894621606999024,DAP
12.787110073052926,0.0,37.92001050756159,DAP
13.904307236060722,0.0,36.53602850313645,DAP
13.048582645736017,0.0,38.49804355730236,DAP
12.552137547008899,0.0,38.63554613267225,DAP
12.990873932201877,0.0,38.13073169153257,DAP
12.84530695322759,0.0,39.223641591183274,DAP
12.44899178216172,0.0,38.66380865222723,DAP
12.117260250461458,0.0,39.19363649119183,DAP
12.84213851603592,0.0,38.400525535081364,DAP
13.019538208147367,0.0,38.33438963212429,DAP
13.207777869569258,0.0,38.51073397687479,DAP
12.119221310198185,0.0,37.99299646889066,DAP
13.137247926579475,0.0,39.67297653866135,DAP
12.761376390369144,0.0,37.06678691977526,DAP
12.932684835203183,0.0,38.95298977043763,DAP
13.35113261083394,0.0,37.83583544337064,DAP
12.365655395169926,0.0,37.84334136103363,DAP
13.006834531674633,0.0,38.916069907522434,DAP
12.699462801773326,0.0,38.89703394569131,DAP
14.142291582007381,0.0,37.41500400364464,DAP
12.251680779019168,0.0,38.35377265361732,DAP
12.939247207130894,0.0,39.099976592574215,DAP
13.042332214690223,0.0,38.11223016859775,DAP
12.809397064429623,0.0,38.934928876971696,DAP
12.538118677084787,0.0,39.529608594833455,DAP
13.754289996930337,0.0,38.72085745732802,DAP
13.335305270677862,0.0,37.98186209256514,DAP
12.251349559465167,0.0,38.91893727421158,DAP
13.222568498891661,0.0,38.194684122285935,DAP
13.388620989753415,0.0,38.58187654937723,DAP
13.518487044028378,0.0,38.71672219881355,DAP
13.185527046678095,0.0,38.358464086784174,DAP
12.164753403635867,0.0,38.62603926600145,DAP
12.836531487053536,0.0,38.542416042651276,DAP
13.95319232633937,0.0,39.40525613366318,DAP
13.18468116226999,0.0,37.89917487953695,DAP
12.590052847466616,0.0,39.45816370555777,DAP
13.19214746696161,0.0,37.743640663210215,DAP
13.731893281734104,0.0,38.053772342034335,DAP
12.612036751454625,0.0,38.825059484594085,DAP
12.868457289581087,0.0,37.679523332329104,DAP
13.570116201270931,0.0,39.04070551394944,DAP
12.468786019630224,0.0,37.71782668576513,DAP
13.595756010485252,0.0,38.31556835729371,DAP
13.338181921725731,0.0,37.185190324418905,DAP
12.702513410259687,0.0,38.139913004502645,DAP
13.001705199478344,0.0,38.47709176474644,DAP
12.533795914617476,0.0,38.71520005289334,DAP
12.497632766622276,0.0,38.39749504832645,DAP
13.978590442150127,0.0,36.86644019632432,DAP
12.722054743046325,0.0,38.33841275457092,DAP
12.904608375132698,0.0,38.28868075969784,DAP
12.386547385539702,0.0,37.68502951393254,DAP
12.925541560816674,0.0,39.98135413150769,DAP
12.617060360418385,0.0,38.38872170148172,DAP
12.759661592009326,0.0,38.335972233430546,DAP
12.5771076625543,0.0,37.78632147530961,DAP
12.43325877141332,0.0,38.5678014854066,DAP
12.416576722310447,0.0,39.05975036414867,DAP
12.845286881272235,0.0,38.32040185096182,DAP
12.872559462201087,0.0,39.19384939958933,DAP
13.435636935339076,0.0,36.71715190610596,DAP
12.955108511144958,0.0,38.844680622871,DAP
13.164003229125516,0.0,38.302439679766216,DAP
11.841236059876278,0.0,39.731894621364994,DAP
13.208544638470068,0.0,38.99808912484951,DAP
12.9201958021762,0.0,38.92009579691908,DAP
14.17407616817906,0.0,38.43353992325893,DAP
12.437990473544529,0.0,39.67815145608375,DAP
12.810601762252192,0.0,38.104564036793136,DAP
13.09749336715399,0.0,38.75507294827401,DAP
12.567295982528618,0.0,39.5802323780276,DAP
12.70262372211046,0.0,39.01806960595705,DAP
13.268149722498315,0.0,39.31347043885761,DAP
11.811700734947998,0.0,37.823488948987354,DAP
13.134308714423911,0.0,38.624046258277765,DAP
12.692408473207916,0.0,40.02345381943211,DAP
12.850300228833177,0.0,38.761563784553665,DAP
12.901872023736502,0.0,37.690522857470505,DAP
12.697414893393669,0.0,38.50809019558472,DAP
13.058027103910431,0.0,37.881429020657976,DAP
13.078060543561564,0.0,37.59823526745327,DAP
13.165093485591662,0.0,36.77857198582978,DAP
13.36732176345822,0.0,37.95919594068154,DAP
12.895529066962883,0.0,39.35739085517106,DAP
12.55200267603062,0.0,38.41222064274275,DAP
12.617648076491573,0.0,38.310800715068375,DAP
13.563606515898908,0.0,37.48650973398372,DAP
14.042168436356652,0.0,38.130292643315144,DAP
13.553631614024837,0.0,38.843423073422194,DAP
13.189786876002715,0.0,39.57461470231171,DAP
13.405372355268785,0.0,37.00987210119305,DAP
13.139355789763293,0.0,39.68161131428395,DAP
12.906521568885257,0.0,38.27705861098756,DAP
13.249357689965686,0.0,38.93419160460204,DAP
13.624735393528038,0.0,39.01251840378918,DAP
13.307990788649546,0.0,37.49121101684375,DAP
12.628184463498402,0.0,38.80468980296582,DAP
